0.0007836818695068359 , [-0.09425, -0.00803, 0.99675] , [0.40453, -0.63286, 4.23525] 
0.011123895645141602 , [-0.09425, -0.00803, 0.99675] , [0.40453, -0.63286, 4.23525] 
0.021378517150878906 , [-0.09419, -0.00793, 0.99673] , [0.40509, -0.63195, 4.23649] 
0.03164076805114746 , [-0.09419, -0.00793, 0.99673] , [0.40509, -0.63195, 4.23649] 
0.04187512397766113 , [-0.09419, -0.00793, 0.99673] , [0.40509, -0.63195, 4.23649] 
0.05209970474243164 , [-0.09419, -0.00793, 0.99673] , [0.40509, -0.63195, 4.23649] 
0.06237626075744629 , [-0.09419, -0.00793, 0.99673] , [0.40509, -0.63195, 4.23649] 
0.07258105278015137 , [-0.09419, -0.00793, 0.99673] , [0.40509, -0.63195, 4.23649] 
0.08283209800720215 , [-0.09419, -0.00793, 0.99673] , [0.40509, -0.63195, 4.23649] 
0.09311223030090332 , [-0.09419, -0.00793, 0.99673] , [0.40509, -0.63195, 4.23649] 
0.10336875915527344 , [-0.09419, -0.00793, 0.99673] , [0.40509, -0.63195, 4.23649] 
0.11362171173095703 , [-0.09419, -0.00793, 0.99673] , [0.40509, -0.63195, 4.23649] 
0.12391829490661621 , [-0.09419, -0.00793, 0.99673] , [0.40509, -0.63195, 4.23649] 
0.13414502143859863 , [-0.09419, -0.00793, 0.99673] , [0.40509, -0.63195, 4.23649] 
0.14439749717712402 , [-0.09419, -0.00793, 0.99673] , [0.40509, -0.63195, 4.23649] 
0.15464162826538086 , [-0.09419, -0.00793, 0.99673] , [0.40509, -0.63195, 4.23649] 
0.16489934921264648 , [-0.09419, -0.00793, 0.99673] , [0.40509, -0.63195, 4.23649] 
0.17523860931396484 , [-0.09419, -0.00793, 0.99673] , [0.40509, -0.63195, 4.23649] 
0.18550705909729004 , [-0.09419, -0.00793, 0.99673] , [0.40509, -0.63195, 4.23649] 
0.19571328163146973 , [-0.09419, -0.00793, 0.99673] , [0.40509, -0.63195, 4.23649] 
0.20597147941589355 , [-0.09419, -0.00793, 0.99673] , [0.40509, -0.63195, 4.23649] 
0.2161855697631836 , [-0.09419, -0.00793, 0.99673] , [0.40509, -0.63195, 4.23649] 
0.2264409065246582 , [-0.09419, -0.00793, 0.99673] , [0.40509, -0.63195, 4.23649] 
0.23665738105773926 , [-0.09419, -0.00793, 0.99673] , [0.40509, -0.63195, 4.23649] 
0.24690651893615723 , [-0.09419, -0.00793, 0.99673] , [0.40509, -0.63195, 4.23649] 
0.25716471672058105 , [-0.09419, -0.00793, 0.99673] , [0.40509, -0.63195, 4.23649] 
0.26741504669189453 , [-0.09419, -0.00793, 0.99673] , [0.40509, -0.63195, 4.23649] 
0.27771639823913574 , [-0.04995, -0.18937, 0.99829] , [0.13854, -0.60232, 4.16224] 
0.287994384765625 , [-0.04995, -0.18937, 0.99829] , [0.13854, -0.60232, 4.16224] 
0.29822564125061035 , [-0.04995, -0.18937, 0.99829] , [0.13854, -0.60232, 4.16224] 
0.30849552154541016 , [-0.04995, -0.18937, 0.99829] , [0.13854, -0.60232, 4.16224] 
0.3187122344970703 , [-0.04995, -0.18937, 0.99829] , [0.13854, -0.60232, 4.16224] 
0.3289618492126465 , [-0.04995, -0.18937, 0.99829] , [0.13854, -0.60232, 4.16224] 
0.3391754627227783 , [-0.04995, -0.18937, 0.99829] , [0.13854, -0.60232, 4.16224] 
0.34942054748535156 , [-0.04995, -0.18937, 0.99829] , [0.13854, -0.60232, 4.16224] 
0.35970020294189453 , [-0.04995, -0.18937, 0.99829] , [0.13854, -0.60232, 4.16224] 
0.36995673179626465 , [-0.04995, -0.18937, 0.99829] , [0.13854, -0.60232, 4.16224] 
0.3801593780517578 , [-0.04995, -0.18937, 0.99829] , [0.13854, -0.60232, 4.16224] 
0.390453577041626 , [-0.04995, -0.18937, 0.99829] , [0.13854, -0.60232, 4.16224] 
0.40067076683044434 , [-0.04995, -0.18937, 0.99829] , [0.13854, -0.60232, 4.16224] 
0.41094422340393066 , [-0.04995, -0.18937, 0.99829] , [0.13854, -0.60232, 4.16224] 
0.421154260635376 , [-0.04995, -0.18937, 0.99829] , [0.13854, -0.60232, 4.16224] 
0.431424617767334 , [-0.04995, -0.18937, 0.99829] , [0.13854, -0.60232, 4.16224] 
0.44162940979003906 , [-0.04995, -0.18937, 0.99829] , [0.13854, -0.60232, 4.16224] 
0.4518876075744629 , [-0.04995, -0.18937, 0.99829] , [0.13854, -0.60232, 4.16224] 
0.4621560573577881 , [-0.04995, -0.18937, 0.99829] , [0.13854, -0.60232, 4.16224] 
0.472423791885376 , [-0.04995, -0.18937, 0.99829] , [0.13854, -0.60232, 4.16224] 
0.48262810707092285 , [-0.04995, -0.18937, 0.99829] , [0.13854, -0.60232, 4.16224] 
0.49288225173950195 , [-0.04995, -0.18937, 0.99829] , [0.13854, -0.60232, 4.16224] 
0.5030865669250488 , [-0.04995, -0.18937, 0.99829] , [0.13854, -0.60232, 4.16224] 
0.5133509635925293 , [-0.04995, -0.18937, 0.99829] , [0.13854, -0.60232, 4.16224] 
0.5235538482666016 , [-0.04995, -0.18937, 0.99829] , [0.13854, -0.60232, 4.16224] 
0.5338237285614014 , [-0.035, -0.0973, 1.00108] , [0.18778, -0.58095, 4.19013] 
0.544029951095581 , [-0.035, -0.0973, 1.00108] , [0.18778, -0.58095, 4.19013] 
0.5542829036712646 , [-0.035, -0.0973, 1.00108] , [0.18778, -0.58095, 4.19013] 
0.5645256042480469 , [-0.035, -0.0973, 1.00108] , [0.18778, -0.58095, 4.19013] 
0.5747783184051514 , [-0.035, -0.0973, 1.00108] , [0.18778, -0.58095, 4.19013] 
0.5849800109863281 , [-0.035, -0.0973, 1.00108] , [0.18778, -0.58095, 4.19013] 
0.5952317714691162 , [-0.035, -0.0973, 1.00108] , [0.18778, -0.58095, 4.19013] 
0.6054363250732422 , [-0.035, -0.0973, 1.00108] , [0.18778, -0.58095, 4.19013] 
0.6157855987548828 , [-0.035, -0.0973, 1.00108] , [0.18778, -0.58095, 4.19013] 
0.6262450218200684 , [-0.035, -0.0973, 1.00108] , [0.18778, -0.58095, 4.19013] 
0.6366541385650635 , [-0.035, -0.0973, 1.00108] , [0.18778, -0.58095, 4.19013] 
0.6470158100128174 , [-0.035, -0.0973, 1.00108] , [0.18778, -0.58095, 4.19013] 
0.657343864440918 , [-0.035, -0.0973, 1.00108] , [0.18778, -0.58095, 4.19013] 
0.6676321029663086 , [-0.035, -0.0973, 1.00108] , [0.18778, -0.58095, 4.19013] 
0.677893877029419 , [-0.035, -0.0973, 1.00108] , [0.18778, -0.58095, 4.19013] 
0.6880998611450195 , [-0.035, -0.0973, 1.00108] , [0.18778, -0.58095, 4.19013] 
0.6983726024627686 , [-0.035, -0.0973, 1.00108] , [0.18778, -0.58095, 4.19013] 
0.7085731029510498 , [-0.035, -0.0973, 1.00108] , [0.18778, -0.58095, 4.19013] 
0.7188529968261719 , [-0.035, -0.0973, 1.00108] , [0.18778, -0.58095, 4.19013] 
0.729071855545044 , [-0.035, -0.0973, 1.00108] , [0.18778, -0.58095, 4.19013] 
0.7393374443054199 , [-0.035, -0.0973, 1.00108] , [0.18778, -0.58095, 4.19013] 
0.7495460510253906 , [-0.035, -0.0973, 1.00108] , [0.18778, -0.58095, 4.19013] 
0.7598040103912354 , [-0.035, -0.0973, 1.00108] , [0.18778, -0.58095, 4.19013] 
0.7701685428619385 , [-0.035, -0.0973, 1.00108] , [0.18778, -0.58095, 4.19013] 
0.7806057929992676 , [-0.035, -0.0973, 1.00108] , [0.18778, -0.58095, 4.19013] 
0.79083251953125 , [0.02032, -0.08985, 1.00746] , [0.13479, -0.62004, 4.22257] 
0.801105260848999 , [0.02032, -0.08985, 1.00746] , [0.13479, -0.62004, 4.22257] 
0.8113481998443604 , [0.02032, -0.08985, 1.00746] , [0.13479, -0.62004, 4.22257] 
0.8215956687927246 , [0.02032, -0.08985, 1.00746] , [0.13479, -0.62004, 4.22257] 
0.8318455219268799 , [0.02032, -0.08985, 1.00746] , [0.13479, -0.62004, 4.22257] 
0.8421177864074707 , [0.02032, -0.08985, 1.00746] , [0.13479, -0.62004, 4.22257] 
0.8523917198181152 , [0.02032, -0.08985, 1.00746] , [0.13479, -0.62004, 4.22257] 
0.8626794815063477 , [0.02032, -0.08985, 1.00746] , [0.13479, -0.62004, 4.22257] 
0.8729979991912842 , [0.02032, -0.08985, 1.00746] , [0.13479, -0.62004, 4.22257] 
0.8832933902740479 , [0.02032, -0.08985, 1.00746] , [0.13479, -0.62004, 4.22257] 
0.8935120105743408 , [0.02032, -0.08985, 1.00746] , [0.13479, -0.62004, 4.22257] 
0.9037764072418213 , [0.02032, -0.08985, 1.00746] , [0.13479, -0.62004, 4.22257] 
0.914055347442627 , [0.02032, -0.08985, 1.00746] , [0.13479, -0.62004, 4.22257] 
0.9243853092193604 , [0.02032, -0.08985, 1.00746] , [0.13479, -0.62004, 4.22257] 
0.9346332550048828 , [0.02032, -0.08985, 1.00746] , [0.13479, -0.62004, 4.22257] 
0.9449117183685303 , [0.02032, -0.08985, 1.00746] , [0.13479, -0.62004, 4.22257] 
0.9551372528076172 , [0.02032, -0.08985, 1.00746] , [0.13479, -0.62004, 4.22257] 
0.9654247760772705 , [0.02032, -0.08985, 1.00746] , [0.13479, -0.62004, 4.22257] 
0.9756426811218262 , [0.02032, -0.08985, 1.00746] , [0.13479, -0.62004, 4.22257] 
0.9859387874603271 , [0.02032, -0.08985, 1.00746] , [0.13479, -0.62004, 4.22257] 
0.9961564540863037 , [0.02032, -0.08985, 1.00746] , [0.13479, -0.62004, 4.22257] 
1.0064313411712646 , [0.02032, -0.08985, 1.00746] , [0.13479, -0.62004, 4.22257] 
1.0166895389556885 , [0.02032, -0.08985, 1.00746] , [0.13479, -0.62004, 4.22257] 
1.0270047187805176 , [0.02032, -0.08985, 1.00746] , [0.13479, -0.62004, 4.22257] 
1.0372748374938965 , [0.02032, -0.08985, 1.00746] , [0.13479, -0.62004, 4.22257] 
1.0475594997406006 , [0.0402, -0.03145, 1.0055] , [0.12942, -0.5842, 4.14082] 
1.0577752590179443 , [0.0402, -0.03145, 1.0055] , [0.12942, -0.5842, 4.14082] 
1.068070650100708 , [0.0402, -0.03145, 1.0055] , [0.12942, -0.5842, 4.14082] 
1.0784847736358643 , [0.0402, -0.03145, 1.0055] , [0.12942, -0.5842, 4.14082] 
1.0888206958770752 , [0.0402, -0.03145, 1.0055] , [0.12942, -0.5842, 4.14082] 
1.0990691184997559 , [0.0402, -0.03145, 1.0055] , [0.12942, -0.5842, 4.14082] 
1.109339714050293 , [0.0402, -0.03145, 1.0055] , [0.12942, -0.5842, 4.14082] 
1.1196529865264893 , [0.0402, -0.03145, 1.0055] , [0.12942, -0.5842, 4.14082] 
1.1299333572387695 , [0.0402, -0.03145, 1.0055] , [0.12942, -0.5842, 4.14082] 
1.1401889324188232 , [0.0402, -0.03145, 1.0055] , [0.12942, -0.5842, 4.14082] 
1.1506285667419434 , [0.0402, -0.03145, 1.0055] , [0.12942, -0.5842, 4.14082] 
1.1608452796936035 , [0.0402, -0.03145, 1.0055] , [0.12942, -0.5842, 4.14082] 
1.171118974685669 , [0.0402, -0.03145, 1.0055] , [0.12942, -0.5842, 4.14082] 
1.1813316345214844 , [0.0402, -0.03145, 1.0055] , [0.12942, -0.5842, 4.14082] 
1.191598653793335 , [0.0402, -0.03145, 1.0055] , [0.12942, -0.5842, 4.14082] 
1.2018160820007324 , [0.0402, -0.03145, 1.0055] , [0.12942, -0.5842, 4.14082] 
1.212073802947998 , [0.0402, -0.03145, 1.0055] , [0.12942, -0.5842, 4.14082] 
1.222348690032959 , [0.0402, -0.03145, 1.0055] , [0.12942, -0.5842, 4.14082] 
1.2326829433441162 , [0.0402, -0.03145, 1.0055] , [0.12942, -0.5842, 4.14082] 
1.2429418563842773 , [0.0402, -0.03145, 1.0055] , [0.12942, -0.5842, 4.14082] 
1.253227710723877 , [0.0402, -0.03145, 1.0055] , [0.12942, -0.5842, 4.14082] 
