0.0006697177886962891 , [-0.09178, -0.0098, 0.99683] , [0.36867, -0.57335, 4.11956] 
0.010983705520629883 , [-0.09178, -0.0098, 0.99683] , [0.36867, -0.57335, 4.11956] 
0.021265745162963867 , [-0.09173, -0.00981, 0.99684] , [0.36804, -0.57234, 4.11848] 
0.03147745132446289 , [-0.09173, -0.00981, 0.99684] , [0.36804, -0.57234, 4.11848] 
0.04174208641052246 , [-0.09173, -0.00981, 0.99684] , [0.36804, -0.57234, 4.11848] 
0.052004098892211914 , [-0.09173, -0.00981, 0.99684] , [0.36804, -0.57234, 4.11848] 
0.06228446960449219 , [-0.09173, -0.00981, 0.99684] , [0.36804, -0.57234, 4.11848] 
0.07253479957580566 , [-0.09173, -0.00981, 0.99684] , [0.36804, -0.57234, 4.11848] 
0.0828409194946289 , [-0.09173, -0.00981, 0.99684] , [0.36804, -0.57234, 4.11848] 
0.09306693077087402 , [-0.09173, -0.00981, 0.99684] , [0.36804, -0.57234, 4.11848] 
0.10334110260009766 , [-0.09173, -0.00981, 0.99684] , [0.36804, -0.57234, 4.11848] 
0.11371374130249023 , [-0.09173, -0.00981, 0.99684] , [0.36804, -0.57234, 4.11848] 
0.12406730651855469 , [-0.09173, -0.00981, 0.99684] , [0.36804, -0.57234, 4.11848] 
0.13430118560791016 , [-0.09173, -0.00981, 0.99684] , [0.36804, -0.57234, 4.11848] 
0.1446516513824463 , [-0.09173, -0.00981, 0.99684] , [0.36804, -0.57234, 4.11848] 
0.15490436553955078 , [-0.09173, -0.00981, 0.99684] , [0.36804, -0.57234, 4.11848] 
0.1651763916015625 , [-0.09173, -0.00981, 0.99684] , [0.36804, -0.57234, 4.11848] 
0.17538976669311523 , [-0.09173, -0.00981, 0.99684] , [0.36804, -0.57234, 4.11848] 
0.1856689453125 , [-0.09173, -0.00981, 0.99684] , [0.36804, -0.57234, 4.11848] 
0.19588470458984375 , [-0.09173, -0.00981, 0.99684] , [0.36804, -0.57234, 4.11848] 
0.2061631679534912 , [-0.09173, -0.00981, 0.99684] , [0.36804, -0.57234, 4.11848] 
