0.0006651878356933594 , [-0.05306, 0.00228, 0.99951] , [0.40226, -0.55847, 4.18875] 
0.010968208312988281 , [-0.05306, 0.00228, 0.99951] , [0.40226, -0.55847, 4.18875] 
0.021245718002319336 , [-0.05293, 0.00223, 0.99957] , [0.40191, -0.55549, 4.18366] 
0.031459808349609375 , [-0.05293, 0.00223, 0.99957] , [0.40191, -0.55549, 4.18366] 
0.04172682762145996 , [-0.05293, 0.00223, 0.99957] , [0.40191, -0.55549, 4.18366] 
0.0520319938659668 , [-0.05293, 0.00223, 0.99957] , [0.40191, -0.55549, 4.18366] 
0.062307119369506836 , [-0.05293, 0.00223, 0.99957] , [0.40191, -0.55549, 4.18366] 
0.0725252628326416 , [-0.05293, 0.00223, 0.99957] , [0.40191, -0.55549, 4.18366] 
0.0827798843383789 , [-0.05293, 0.00223, 0.99957] , [0.40191, -0.55549, 4.18366] 
0.09302330017089844 , [-0.05293, 0.00223, 0.99957] , [0.40191, -0.55549, 4.18366] 
0.10327863693237305 , [-0.05293, 0.00223, 0.99957] , [0.40191, -0.55549, 4.18366] 
0.11353015899658203 , [-0.05293, 0.00223, 0.99957] , [0.40191, -0.55549, 4.18366] 
0.12382292747497559 , [-0.05293, 0.00223, 0.99957] , [0.40191, -0.55549, 4.18366] 
0.13404154777526855 , [-0.05293, 0.00223, 0.99957] , [0.40191, -0.55549, 4.18366] 
0.14429759979248047 , [-0.05293, 0.00223, 0.99957] , [0.40191, -0.55549, 4.18366] 
0.15450644493103027 , [-0.05293, 0.00223, 0.99957] , [0.40191, -0.55549, 4.18366] 
0.1647934913635254 , [-0.05293, 0.00223, 0.99957] , [0.40191, -0.55549, 4.18366] 
0.17500638961791992 , [-0.05293, 0.00223, 0.99957] , [0.40191, -0.55549, 4.18366] 
0.18526172637939453 , [-0.05293, 0.00223, 0.99957] , [0.40191, -0.55549, 4.18366] 
0.1954967975616455 , [-0.05293, 0.00223, 0.99957] , [0.40191, -0.55549, 4.18366] 
0.20576930046081543 , [-0.05293, 0.00223, 0.99957] , [0.40191, -0.55549, 4.18366] 
0.21602749824523926 , [-0.05293, 0.00223, 0.99957] , [0.40191, -0.55549, 4.18366] 
0.22629880905151367 , [-0.05293, 0.00223, 0.99957] , [0.40191, -0.55549, 4.18366] 
0.2366931438446045 , [-0.05293, 0.00223, 0.99957] , [0.40191, -0.55549, 4.18366] 
0.24698662757873535 , [-0.05293, 0.00223, 0.99957] , [0.40191, -0.55549, 4.18366] 
0.25731754302978516 , [-0.05293, 0.00223, 0.99957] , [0.40191, -0.55549, 4.18366] 
0.2675955295562744 , [-0.05293, 0.00223, 0.99957] , [0.40191, -0.55549, 4.18366] 
0.27782225608825684 , [0.01025, -0.28252, 1.00229] , [-0.01118, -0.50805, 4.08811] 
0.28812193870544434 , [0.01025, -0.28252, 1.00229] , [-0.01118, -0.50805, 4.08811] 
0.2983405590057373 , [0.01025, -0.28252, 1.00229] , [-0.01118, -0.50805, 4.08811] 
0.30858278274536133 , [0.01025, -0.28252, 1.00229] , [-0.01118, -0.50805, 4.08811] 
0.31881189346313477 , [0.01025, -0.28252, 1.00229] , [-0.01118, -0.50805, 4.08811] 
0.3290550708770752 , [0.01025, -0.28252, 1.00229] , [-0.01118, -0.50805, 4.08811] 
0.33924293518066406 , [0.01025, -0.28252, 1.00229] , [-0.01118, -0.50805, 4.08811] 
0.34948086738586426 , [0.01025, -0.28252, 1.00229] , [-0.01118, -0.50805, 4.08811] 
0.35970187187194824 , [0.01025, -0.28252, 1.00229] , [-0.01118, -0.50805, 4.08811] 
0.3699951171875 , [0.01025, -0.28252, 1.00229] , [-0.01118, -0.50805, 4.08811] 
0.3802154064178467 , [0.01025, -0.28252, 1.00229] , [-0.01118, -0.50805, 4.08811] 
0.3904857635498047 , [0.01025, -0.28252, 1.00229] , [-0.01118, -0.50805, 4.08811] 
0.40070295333862305 , [0.01025, -0.28252, 1.00229] , [-0.01118, -0.50805, 4.08811] 
0.4109475612640381 , [0.01025, -0.28252, 1.00229] , [-0.01118, -0.50805, 4.08811] 
0.4212031364440918 , [0.01025, -0.28252, 1.00229] , [-0.01118, -0.50805, 4.08811] 
0.4314553737640381 , [0.01025, -0.28252, 1.00229] , [-0.01118, -0.50805, 4.08811] 
0.44168567657470703 , [0.01025, -0.28252, 1.00229] , [-0.01118, -0.50805, 4.08811] 
0.4519524574279785 , [0.01025, -0.28252, 1.00229] , [-0.01118, -0.50805, 4.08811] 
0.46221375465393066 , [0.01025, -0.28252, 1.00229] , [-0.01118, -0.50805, 4.08811] 
0.47249579429626465 , [0.01025, -0.28252, 1.00229] , [-0.01118, -0.50805, 4.08811] 
0.4827086925506592 , [0.01025, -0.28252, 1.00229] , [-0.01118, -0.50805, 4.08811] 
0.49298906326293945 , [0.01025, -0.28252, 1.00229] , [-0.01118, -0.50805, 4.08811] 
0.5032167434692383 , [0.01025, -0.28252, 1.00229] , [-0.01118, -0.50805, 4.08811] 
0.5134751796722412 , [0.01025, -0.28252, 1.00229] , [-0.01118, -0.50805, 4.08811] 
0.5237321853637695 , [0.01025, -0.28252, 1.00229] , [-0.01118, -0.50805, 4.08811] 
0.5340185165405273 , [0.10757, -0.16822, 0.99966] , [0.09633, -0.59651, 4.09636] 
0.5442402362823486 , [0.10757, -0.16822, 0.99966] , [0.09633, -0.59651, 4.09636] 
0.5544874668121338 , [0.10757, -0.16822, 0.99966] , [0.09633, -0.59651, 4.09636] 
0.5647404193878174 , [0.10757, -0.16822, 0.99966] , [0.09633, -0.59651, 4.09636] 
