0.0006721019744873047 , [-0.10415, -0.01074, 0.99601] , [0.41435, -0.56756, 4.35295] 
0.011036157608032227 , [-0.10415, -0.01074, 0.99601] , [0.41435, -0.56756, 4.35295] 
0.021286964416503906 , [-0.10409, -0.01069, 0.99584] , [0.41327, -0.56625, 4.35359] 
0.03160357475280762 , [-0.10409, -0.01069, 0.99584] , [0.41327, -0.56625, 4.35359] 
0.041867971420288086 , [-0.10409, -0.01069, 0.99584] , [0.41327, -0.56625, 4.35359] 
0.0521702766418457 , [-0.10409, -0.01069, 0.99584] , [0.41327, -0.56625, 4.35359] 
0.06245303153991699 , [-0.10409, -0.01069, 0.99584] , [0.41327, -0.56625, 4.35359] 
0.07280397415161133 , [-0.10409, -0.01069, 0.99584] , [0.41327, -0.56625, 4.35359] 
0.08302116394042969 , [-0.10409, -0.01069, 0.99584] , [0.41327, -0.56625, 4.35359] 
0.0933074951171875 , [-0.10409, -0.01069, 0.99584] , [0.41327, -0.56625, 4.35359] 
0.10351705551147461 , [-0.10409, -0.01069, 0.99584] , [0.41327, -0.56625, 4.35359] 
0.11383199691772461 , [-0.10409, -0.01069, 0.99584] , [0.41327, -0.56625, 4.35359] 
0.12405228614807129 , [-0.10409, -0.01069, 0.99584] , [0.41327, -0.56625, 4.35359] 
0.13432598114013672 , [-0.10409, -0.01069, 0.99584] , [0.41327, -0.56625, 4.35359] 
0.14458608627319336 , [-0.10409, -0.01069, 0.99584] , [0.41327, -0.56625, 4.35359] 
0.15486931800842285 , [-0.10409, -0.01069, 0.99584] , [0.41327, -0.56625, 4.35359] 
0.16514849662780762 , [-0.10409, -0.01069, 0.99584] , [0.41327, -0.56625, 4.35359] 
0.17543435096740723 , [-0.10409, -0.01069, 0.99584] , [0.41327, -0.56625, 4.35359] 
0.18564987182617188 , [-0.10409, -0.01069, 0.99584] , [0.41327, -0.56625, 4.35359] 
0.19592905044555664 , [-0.10409, -0.01069, 0.99584] , [0.41327, -0.56625, 4.35359] 
0.20620274543762207 , [-0.10409, -0.01069, 0.99584] , [0.41327, -0.56625, 4.35359] 
0.21656489372253418 , [-0.10409, -0.01069, 0.99584] , [0.41327, -0.56625, 4.35359] 
0.22688817977905273 , [-0.10409, -0.01069, 0.99584] , [0.41327, -0.56625, 4.35359] 
0.23718905448913574 , [-0.10409, -0.01069, 0.99584] , [0.41327, -0.56625, 4.35359] 
0.2474498748779297 , [-0.10409, -0.01069, 0.99584] , [0.41327, -0.56625, 4.35359] 
0.25777530670166016 , [-0.10409, -0.01069, 0.99584] , [0.41327, -0.56625, 4.35359] 
0.26799535751342773 , [-0.10409, -0.01069, 0.99584] , [0.41327, -0.56625, 4.35359] 
0.2782924175262451 , [-0.06465, -0.18746, 0.99588] , [0.13059, -0.50297, 4.26361] 
0.28850769996643066 , [-0.06465, -0.18746, 0.99588] , [0.13059, -0.50297, 4.26361] 
0.2988142967224121 , [-0.06465, -0.18746, 0.99588] , [0.13059, -0.50297, 4.26361] 
0.30910563468933105 , [-0.06465, -0.18746, 0.99588] , [0.13059, -0.50297, 4.26361] 
0.3193819522857666 , [-0.06465, -0.18746, 0.99588] , [0.13059, -0.50297, 4.26361] 
0.3296017646789551 , [-0.06465, -0.18746, 0.99588] , [0.13059, -0.50297, 4.26361] 
0.33991050720214844 , [-0.06465, -0.18746, 0.99588] , [0.13059, -0.50297, 4.26361] 
0.3501255512237549 , [-0.06465, -0.18746, 0.99588] , [0.13059, -0.50297, 4.26361] 
0.36044812202453613 , [-0.06465, -0.18746, 0.99588] , [0.13059, -0.50297, 4.26361] 
0.37065958976745605 , [-0.06465, -0.18746, 0.99588] , [0.13059, -0.50297, 4.26361] 
0.38094401359558105 , [-0.06465, -0.18746, 0.99588] , [0.13059, -0.50297, 4.26361] 
0.3911583423614502 , [-0.06465, -0.18746, 0.99588] , [0.13059, -0.50297, 4.26361] 
0.4015171527862549 , [-0.06465, -0.18746, 0.99588] , [0.13059, -0.50297, 4.26361] 
0.4118826389312744 , [-0.06465, -0.18746, 0.99588] , [0.13059, -0.50297, 4.26361] 
0.4222714900970459 , [-0.06465, -0.18746, 0.99588] , [0.13059, -0.50297, 4.26361] 
0.4326159954071045 , [-0.06465, -0.18746, 0.99588] , [0.13059, -0.50297, 4.26361] 
0.44297313690185547 , [-0.06465, -0.18746, 0.99588] , [0.13059, -0.50297, 4.26361] 
0.4532041549682617 , [-0.06465, -0.18746, 0.99588] , [0.13059, -0.50297, 4.26361] 
0.4634857177734375 , [-0.06465, -0.18746, 0.99588] , [0.13059, -0.50297, 4.26361] 
0.47394561767578125 , [-0.06465, -0.18746, 0.99588] , [0.13059, -0.50297, 4.26361] 
0.4842712879180908 , [-0.06465, -0.18746, 0.99588] , [0.13059, -0.50297, 4.26361] 
0.4944894313812256 , [-0.06465, -0.18746, 0.99588] , [0.13059, -0.50297, 4.26361] 
0.5047593116760254 , [-0.06465, -0.18746, 0.99588] , [0.13059, -0.50297, 4.26361] 
0.5151748657226562 , [-0.06465, -0.18746, 0.99588] , [0.13059, -0.50297, 4.26361] 
0.5255389213562012 , [-0.06465, -0.18746, 0.99588] , [0.13059, -0.50297, 4.26361] 
0.5361990928649902 , [-0.04566, -0.07799, 0.98891] , [0.24002, -0.61071, 4.29525] 
0.5465521812438965 , [-0.04566, -0.07799, 0.98891] , [0.24002, -0.61071, 4.29525] 
